[Log] 0 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1683421323749449 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1606481115931375 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.16485877132712154 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.14796209151456458 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15546267387528503 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.16708707028783498 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1687493986225156 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15333020578243847 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.14896418283409996 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15117379876983306 (Obstacle-grid-c100o9.html, line 125)
[Log] 0 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1366978654832525 (Obstacle-grid-c100o9.html, line 125)
[Log] 2.7458594029835823 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1595865879589373 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.14176921805437895 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.14702069578130822 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1442043299505826 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1468525843065789 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.16231915629235497 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.14995514575932636 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15714786208285603 (Obstacle-grid-c100o9.html, line 125)
[Log] 0 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1599280642108736 (Obstacle-grid-c100o9.html, line 125)
[Log] 2.7615704869060558 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15969493306858643 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.16379386044001004 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15253048752522239 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15082270442353612 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1789077112163048 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15453365301373 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15979450613112095 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15887661622429497 (Obstacle-grid-c100o9.html, line 125)
[Log] 0 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1512248613574223 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.14004419906242838 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.13450933835371243 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.16152678608708626 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15562062472273577 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.14489159143138847 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.16047521862093433 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15255980883977274 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.14771149432835232 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15414406642628806 (Obstacle-grid-c100o9.html, line 125)
[Log] 0 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.14490961383512166 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.14471932363663131 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15815974885951464 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15183522975957056 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.14638984979138497 (Obstacle-grid-c100o9.html, line 125)
[Log] 2.73076571339084 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15345714220136242 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1405783902904663 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1536887448411472 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15905423534136126 (Obstacle-grid-c100o9.html, line 125)
[Log] 0 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.14156408265802364 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.14412477928540066 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15091097552250823 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1475330744662287 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.147183530439007 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.14898367777037017 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.148132290238686 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1341814352708002 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15051828336601958 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.14029527150105287 (Obstacle-grid-c100o9.html, line 125)
[Log] 0 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.13744537627867479 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15922320163431014 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.13909224164083103 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15024307305207524 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15141020020178375 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.14236789977955824 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1424938174035728 (Obstacle-grid-c100o9.html, line 125)
[Log] 2.7424468860713227 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.14983806834646227 (Obstacle-grid-c100o9.html, line 125)
