[Log] 0.17099380004612996 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.15546165216557367 (Obstacle-grid-c50o9.html, line 125)
[Log] 5.351086701100514 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.1720026405534675 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.1695187119349332 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.16656684377172984 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.16058109872751652 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.13588743955402113 (Obstacle-grid-c50o9.html, line 125)
[Log] 0 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.14103318894016684 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.15738748129036706 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.13411848123327738 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.143555524526157 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.13884256344909043 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.16092854640767032 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.14825839354853992 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.17489086143121557 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.18629521221820564 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.17537027781098025 (Obstacle-grid-c50o9.html, line 125)
[Log] 0 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.147739741446341 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.14943746156553375 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.15844128383760034 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.16938116292197125 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.16701662229973627 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.1508053567147966 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.1486721661567103 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.17472642941176839 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.16189390816772944 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.1659373911912863 (Obstacle-grid-c50o9.html, line 125)
[Log] 0 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.15727590217534507 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.15453068608338502 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.1626066327979869 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.15096665605737394 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.1655644892935655 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.14581955079137818 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.15418685079739683 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.1554170065188498 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.15692714567075472 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.1600051171837006 (Obstacle-grid-c50o9.html, line 125)
[Log] 0 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.1706944099540695 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.1862346547104865 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.16571867470238769 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.16803797796860728 (Obstacle-grid-c50o9.html, line 125)
[Log] 0.1422939407099541 (Obstacle-grid-c50o9.html, line 125)
