[Log] 0.19547056771538698 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.22023983193828933 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.1508588779080952 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.15832727728923449 (Obstacle-grid-c10o1.html, line 125)
[Log] 0 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.14284038166582036 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.14435765837459355 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.11148982733472265 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.1606750933907119 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.16164212934949124 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.1786028592879073 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.20287311727578256 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.14810444192701386 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.1799048376634567 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.14218657453458158 (Obstacle-grid-c10o1.html, line 125)
[Log] 0 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.13687162663265548 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.1298957220987778 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.1542964397341052 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.18691627131335847 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.15642945462951363 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.13359827919101755 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.13825085325102293 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.16866116531679157 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.11417514973811836 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.1656878069018473 (Obstacle-grid-c10o1.html, line 125)
[Log] 0 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.16679246136166345 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.1519505924559287 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.15024072139848588 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.14862426214520222 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.17151490337055356 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.18222025519426094 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.17150847022412163 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.12842501065262849 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.15781419542424538 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.1939701420796625 (Obstacle-grid-c10o1.html, line 125)
[Log] 0 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.18477718285004197 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.1416635432442702 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.1451672276892479 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.1860594964084835 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.1978543469122947 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.16178511531423706 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.1759153664836396 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.15222414279432048 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.19601471421141142 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.16703983103754694 (Obstacle-grid-c10o1.html, line 125)
[Log] 0 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.19171995322425678 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.13246384294792077 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.19417058873296175 (Obstacle-grid-c10o1.html, line 125)
[Log] 0.18612374181030944 (Obstacle-grid-c10o1.html, line 125)
