[Log] 0.18664837820911814 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.15129006663325767 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.12896986925266382 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.18539793168297983 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.1567462095191331 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.1769834955430212 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.16652060033759197 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.13225396495352854 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.16915968823108368 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.13435843868267525 (Obstacle-grid-c10o9.html, line 125)
[Log] 0 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.1787225239845367 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.1594693654737123 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.13593454095644375 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.15129823841276283 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.15633303009042793 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.12033568803619997 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.13287908174727497 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.17045969542805617 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.1393543933032381 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.13698166641848797 (Obstacle-grid-c10o9.html, line 125)
[Log] 0 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.15901282289639054 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.16022625826577463 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.12905716961080888 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.17580509270329886 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.16335071301772114 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.14899338991771777 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.16248842651517173 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.1454348173816406 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.15658756558390094 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.16354371280907692 (Obstacle-grid-c10o9.html, line 125)
[Log] 0 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.12973671999170774 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.13276574862629023 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.1239620542694369 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.11055367971893179 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.12362667814481498 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.16943242422585236 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.12903274922343216 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.14715613975932035 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.15170719470686922 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.12659290188850145 (Obstacle-grid-c10o9.html, line 125)
[Log] 0 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.13253598059990895 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.12046142931283871 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.10175882029751351 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.10818830372773648 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.10740376895485751 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.16349488170245963 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.11084526987876094 (Obstacle-grid-c10o9.html, line 125)
[Log] 0.13361628114681734 (Obstacle-grid-c10o9.html, line 125)
