[Log] 0.12773794663147547 (Obstacle-start.html, line 124)
[Log] 0.15408159596270116 (Obstacle-start.html, line 124)
[Log] 0.1088869083956741 (Obstacle-start.html, line 124)
[Log] 0 (Obstacle-start.html, line 124)
[Log] 0.0893176150881079 (Obstacle-start.html, line 124)
[Log] 0.10465523678228297 (Obstacle-start.html, line 124)
[Log] 0.1403105051148634 (Obstacle-start.html, line 124)
[Log] 0.11934487539771084 (Obstacle-start.html, line 124)
[Log] 0.12254124184498463 (Obstacle-start.html, line 124)
[Log] 0.15182589084655476 (Obstacle-start.html, line 124)
[Log] 0.17188109767121315 (Obstacle-start.html, line 124)
[Log] 0.14062874377172555 (Obstacle-start.html, line 124)
[Log] 0.11579555970842911 (Obstacle-start.html, line 124)
[Log] 0.10468557226272228 (Obstacle-start.html, line 124)
[Log] 0 (Obstacle-start.html, line 124)
[Log] 0.14199658742762003 (Obstacle-start.html, line 124)
[Log] 0.09039926301874177 (Obstacle-start.html, line 124)
[Log] 0.09849319143400966 (Obstacle-start.html, line 124)
[Log] 0.1276311976010161 (Obstacle-start.html, line 124)
[Log] 0.0709570938043809 (Obstacle-start.html, line 124)
[Log] 0.1364762583866922 (Obstacle-start.html, line 124)
[Log] 0.14132951185770976 (Obstacle-start.html, line 124)
[Log] 0.07857677081897771 (Obstacle-start.html, line 124)
[Log] 0.1000477259359358 (Obstacle-start.html, line 124)
[Log] 0.11684471914591273 (Obstacle-start.html, line 124)
[Log] 0 (Obstacle-start.html, line 124)
[Log] 0.10037275372388384 (Obstacle-start.html, line 124)
[Log] 0.15879762113574933 (Obstacle-start.html, line 124)
[Log] 0.11714410088732023 (Obstacle-start.html, line 124)
[Log] 0.1253654838913146 (Obstacle-start.html, line 124)
[Log] 0.1347833878923064 (Obstacle-start.html, line 124)
[Log] 0.14299452470768315 (Obstacle-start.html, line 124)
[Log] 0.16024055294270934 (Obstacle-start.html, line 124)
[Log] 0.16454807013355477 (Obstacle-start.html, line 124)
[Log] 0.13230875716466722 (Obstacle-start.html, line 124)
[Log] 0.07570614493694758 (Obstacle-start.html, line 124)
[Log] 0 (Obstacle-start.html, line 124)
[Log] 0.16515290936155677 (Obstacle-start.html, line 124)
[Log] 0.11858436789435875 (Obstacle-start.html, line 124)
[Log] 0.15522900817338936 (Obstacle-start.html, line 124)
[Log] 0.21435208004539788 (Obstacle-start.html, line 124)
[Log] 0.12359455124416203 (Obstacle-start.html, line 124)
[Log] 0.12436289555665944 (Obstacle-start.html, line 124)
[Log] 0.14194626527303317 (Obstacle-start.html, line 124)
[Log] 0.15100880940917283 (Obstacle-start.html, line 124)
[Log] 0.13621386180449585 (Obstacle-start.html, line 124)
[Log] 0.18298368274852 (Obstacle-start.html, line 124)
[Log] 0 (Obstacle-start.html, line 124)
[Log] 0.13824375425317537 (Obstacle-start.html, line 124)
[Log] 0.11216183469732569 (Obstacle-start.html, line 124)
[Log] 0.1847825777559467 (Obstacle-start.html, line 124)
[Log] 0.08008250099444504 (Obstacle-start.html, line 124)
[Log] 0.15920496608470164 (Obstacle-start.html, line 124)
[Log] 0.10647997255042514 (Obstacle-start.html, line 124)
[Log] 0.11695807718550177 (Obstacle-start.html, line 124)
[Log] 0.1581693294638518 (Obstacle-start.html, line 124)
[Log] 0.12701483118754417 (Obstacle-start.html, line 124)
[Log] 0.12725933867951872 (Obstacle-start.html, line 124)
[Log] 0 (Obstacle-start.html, line 124)
[Log] 0.15206844879955086 (Obstacle-start.html, line 124)
[Log] 0.18166743634989962 (Obstacle-start.html, line 124)
[Log] 0.18323860848256285 (Obstacle-start.html, line 124)
[Log] 0.07789577092751435 (Obstacle-start.html, line 124)
[Log] 0.09025031210576917 (Obstacle-start.html, line 124)
[Log] 0.12021344893360808 (Obstacle-start.html, line 124)
[Log] 0.06464987694644925 (Obstacle-start.html, line 124)
