[Log] 0.13251842115956694 (Obstacle-grid-c100o49.html, line 125)
[Log] 0.13219362071896687 (Obstacle-grid-c100o49.html, line 125)
[Log] 0.12197640646826265 (Obstacle-grid-c100o49.html, line 125)
[Log] 0.1301229644481441 (Obstacle-grid-c100o49.html, line 125)
[Log] 0.12665454176324184 (Obstacle-grid-c100o49.html, line 125)
[Log] 0.12431969164376765 (Obstacle-grid-c100o49.html, line 125)
[Log] 0.12976244220249045 (Obstacle-grid-c100o49.html, line 125)
[Log] 0.11056734900500594 (Obstacle-grid-c100o49.html, line 125)
[Log] 0.14681173221855304 (Obstacle-grid-c100o49.html, line 125)
[Log] 0.15014108300449852 (Obstacle-grid-c100o49.html, line 125)
[Log] 0 (Obstacle-grid-c100o49.html, line 125)
[Log] 0.12992519069669095 (Obstacle-grid-c100o49.html, line 125)
[Log] 0.14664874133403746 (Obstacle-grid-c100o49.html, line 125)
[Log] 0.12424603305447635 (Obstacle-grid-c100o49.html, line 125)
[Log] 0.13091851626393342 (Obstacle-grid-c100o49.html, line 125)
[Log] 0.13678843244920172 (Obstacle-grid-c100o49.html, line 125)
[Log] 0.13148992912012164 (Obstacle-grid-c100o49.html, line 125)
[Log] 0.1469041195258799 (Obstacle-grid-c100o49.html, line 125)
[Log] 0.13556451078988782 (Obstacle-grid-c100o49.html, line 125)
[Log] 0.15527547198045596 (Obstacle-grid-c100o49.html, line 125)
[Log] 0.1487576081651005 (Obstacle-grid-c100o49.html, line 125)
[Log] 0 (Obstacle-grid-c100o49.html, line 125)
[Log] 0.1381492055131538 (Obstacle-grid-c100o49.html, line 125)
[Log] 0.13742791940006857 (Obstacle-grid-c100o49.html, line 125)
[Log] 0.11626461396817984 (Obstacle-grid-c100o49.html, line 125)
[Log] 0.1458770719648187 (Obstacle-grid-c100o49.html, line 125)
[Log] 0.1334053600177702 (Obstacle-grid-c100o49.html, line 125)
[Log] 0.1427912653022331 (Obstacle-grid-c100o49.html, line 125)
[Log] 5.325030225000153 (Obstacle-grid-c100o49.html, line 125)
[Log] 0.13555595090633507 (Obstacle-grid-c100o49.html, line 125)
[Log] 0.13548550318728345 (Obstacle-grid-c100o49.html, line 125)
[Log] 0.132266231570512 (Obstacle-grid-c100o49.html, line 125)
[Log] 0 (Obstacle-grid-c100o49.html, line 125)
[Log] 0.11812614959958055 (Obstacle-grid-c100o49.html, line 125)
