[Log] 0.14592042595500695 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.1620981669646093 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.1260084003872101 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.1225415887575164 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.1326927972362882 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.13702438326285707 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.15938813943650995 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.14089382335615608 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.10841176758091742 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.14344324988784138 (Obstacle-grid-c10o49.html, line 125)
[Log] 0 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.12459591201916005 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.13049914841257698 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.08914276479941685 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.1449870853911515 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.11662386062272649 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.14394584000944333 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.10948676290919408 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.14212327972425337 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.12511933951773085 (Obstacle-grid-c10o49.html, line 125)
[Log] 35.7713696556079 (Obstacle-grid-c10o49.html, line 125)
[Log] 0 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.11227241659909655 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.14989483482335317 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.12268760722908174 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.1230690945082485 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.12984933936231885 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.11639155528031327 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.15833477577487082 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.1053700948279105 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.13599817985490387 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.14606551871584686 (Obstacle-grid-c10o49.html, line 125)
[Log] 0 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.11978961537651443 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.1170786692852549 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.12105683454990755 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.10291496016679605 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.10728253866238915 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.1660343025024819 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.12607212227070883 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.14324866763074304 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.10295497377540855 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.1390630167695949 (Obstacle-grid-c10o49.html, line 125)
[Log] 0 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.17363269744677573 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.13494547856083855 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.07942716980803892 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.07779657841650946 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.0872651847102646 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.097091376832056 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.10809150662187726 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.11511316356652422 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.0875706644870766 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.12387083723981515 (Obstacle-grid-c10o49.html, line 125)
[Log] 0 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.10666534297777583 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.07774820508323955 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.09091713475811944 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.1026153889632987 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.0862260088159716 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.1008721294306053 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.06745678265836824 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.09646746258456416 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.1045408095763611 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.0962482627804236 (Obstacle-grid-c10o49.html, line 125)
[Log] 0 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.07946938532982348 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.10922549311917813 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.10902195707382474 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.10538850709492906 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.12136001009117457 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.08254765485825268 (Obstacle-grid-c10o49.html, line 125)
[Log] 0.08176662067294005 (Obstacle-grid-c10o49.html, line 125)
