[Log] 0.14742253640733893 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.15037078356246997 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.15919274776061537 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.152207464216435 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1481364819373183 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1440333865762413 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.14746486370115872 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.14387407336351096 (Obstacle-grid-c100o1.html, line 125)
[Log] 0 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.14388908945690498 (Obstacle-grid-c100o1.html, line 125)
[Log] 2.6709174522562305 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1363278739820775 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1396346955722214 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.14911526972182887 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.14662352165948603 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1487218812122969 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.14438186367403794 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.14090374797330119 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.15711253826773822 (Obstacle-grid-c100o1.html, line 125)
[Log] 0 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.15447836999814124 (Obstacle-grid-c100o1.html, line 125)
[Log] 2.6755788253905153 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1626299631058694 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.14182273106408433 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.15283379158336693 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.14630883688215895 (Obstacle-grid-c100o1.html, line 125)
[Log] 2.6636053152536245 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.16193881275448957 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.14308417800188047 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.14199707660366448 (Obstacle-grid-c100o1.html, line 125)
[Log] 0 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1564566237435766 (Obstacle-grid-c100o1.html, line 125)
[Log] 2.6768598923101377 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1613903059615311 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1436165389071682 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.14561300725847295 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1595393249293695 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.16936632092305845 (Obstacle-grid-c100o1.html, line 125)
[Log] 2.692875274607348 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1572377138429385 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.16568126587766646 (Obstacle-grid-c100o1.html, line 125)
[Log] 0 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1518265545363357 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.17098038714082253 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.16242875351421757 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1767000031909219 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.15739424393704382 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.16439069951464705 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.164375207349773 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.15258151938857714 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.18002698102702072 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1746926836193873 (Obstacle-grid-c100o1.html, line 125)
[Log] 0 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1544883462516683 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.16639458413144004 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.16816602011961407 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.15534705677760252 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1631383593421046 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.16069541408159432 (Obstacle-grid-c100o1.html, line 125)
[Log] 2.6820902482778575 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.153384910798565 (Obstacle-grid-c100o1.html, line 125)
[Log] 2.678527462789755 (Obstacle-grid-c100o1.html, line 125)
[Log] 2.6959382323009797 (Obstacle-grid-c100o1.html, line 125)
[Log] 0 (Obstacle-grid-c100o1.html, line 125)
[Log] 2.6889681404953802 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.18108503773559512 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1770985571335795 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1578184838331656 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.16161254407536943 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.16297213537321698 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.16005350101645452 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.14879649422149285 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.17160019711337227 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.15169156551095242 (Obstacle-grid-c100o1.html, line 125)
[Log] 0 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.15647322364810887 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1439795588820996 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.16383321812664906 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.15719005039695477 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.16994905110875547 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1580156594623401 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.15909641137930722 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1494963348322379 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.16960042278708704 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.16504295028383426 (Obstacle-grid-c100o1.html, line 125)
[Log] 0 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1688535995533576 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.15737904005271422 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.16436373436427137 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.15427710531409536 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1670620464969114 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.15203667261230022 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1525626826985715 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.16969878862604448 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1620097997701698 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1627991116254873 (Obstacle-grid-c100o1.html, line 125)
[Log] 0 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.16398656169297393 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1670047228442811 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.16141589806437745 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.15956993475697956 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.15565744710182566 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.15974616340270892 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1589903286835026 (Obstacle-grid-c100o1.html, line 125)
[Log] 2.664309022366046 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1639664668577818 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.16252452235461196 (Obstacle-grid-c100o1.html, line 125)
[Log] 0 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.15176893914308492 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.16553395053081882 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.15904213524552233 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.16142005382046784 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.16551123415562688 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1447049941098421 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.16200081988275494 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1656208840308967 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1604723690965602 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.15554033137847245 (Obstacle-grid-c100o1.html, line 125)
[Log] 0 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.16481319827296986 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1605487271393694 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.16414763328045137 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.18855324883780353 (Obstacle-grid-c100o1.html, line 125)
[Log] 2.6917723447844244 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1593241886138571 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.14999208768264832 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1428091270676522 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.16681351207561362 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.16394383571513235 (Obstacle-grid-c100o1.html, line 125)
[Log] 0 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.15643703160081257 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.16120780903701443 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.15516594995960548 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.13977620905331303 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1623001028458143 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.16024783927677572 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.16543651748581809 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.16324610374020607 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.16449043444948927 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.17056901849431472 (Obstacle-grid-c100o1.html, line 125)
[Log] 0 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1663049050909975 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1488436858658813 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1956635413779962 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.15886195764483418 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.173686253367455 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1519610669356551 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.14358197692335062 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1492124713205381 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.1628080293811975 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.15692580427412794 (Obstacle-grid-c100o1.html, line 125)
[Log] 0 (Obstacle-grid-c100o1.html, line 125)
[Log] 0.15939422480060447 (Obstacle-grid-c100o1.html, line 125)
