[Log] 0.14691395169426358 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.13014082585912962 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.14289220987425405 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.1260290639324034 (Obstacle-grid-c50o49.html, line 125)
[Log] 0 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.1413760546008999 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.1324814837614328 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.15069292252280847 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.14558385040614116 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.14629995878890706 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.14645395641248254 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.1488253423596436 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.14038573844100802 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.137099026882793 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.1404703069975575 (Obstacle-grid-c50o49.html, line 125)
[Log] 0 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.14856302944924477 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.12212330079060162 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.12369944613984686 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.13247751235342142 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.1302333750637424 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.13363987738181926 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.15161849087537668 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.12510575282389502 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.12127142830115811 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.14955099627873175 (Obstacle-grid-c50o49.html, line 125)
[Log] 0 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.13674991968072409 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.12496088278210198 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.12871585463650803 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.12749982672005616 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.14496227386679172 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.12549068387034298 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.12321243072186112 (Obstacle-grid-c50o49.html, line 125)
[Log] 5.55330167264411 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.1439768634638083 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.13146334263113432 (Obstacle-grid-c50o49.html, line 125)
[Log] 0 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.12819332219316854 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.1345055664372158 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.15422249696269752 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.147932347214496 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.1470883587427843 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.13880561799069907 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.13109792985735866 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.15457344539116466 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.15619669574062972 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.14916553063745203 (Obstacle-grid-c50o49.html, line 125)
[Log] 0 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.15459836103283753 (Obstacle-grid-c50o49.html, line 125)
[Log] 5.560649875673721 (Obstacle-grid-c50o49.html, line 125)
[Log] 0.14612850426257887 (Obstacle-grid-c50o49.html, line 125)
